;hoeg;lag;Fabrikat;id;name;location;coordinates;dh;I_drift;Ber;mwh_2013;mwh_2014;mwh_2015;man_12_MWH;man_12_percentage;Manad;Tid;AHT;MS;YNS;OEYS;PU;OEPS;TF
211;600;;Vestas;586; Gipsön 10;Landskrona ;C2g;42/41;961008;1216;1110;1294;1422;1422;100;160;;0;;;;;;
212;600;;Vestas;587; Gipsön 11;Landskrona ;C2g;42/41;961008;1216;1110;1294;1422;1422;100;160;;0;;;;;;
213;600;;Vestas;588; Gipsön 12;Landskrona ;C2g;42/41;961008;1216;1162;1294;1422;1422;100;160;;0;;;;;;
214;600;;Enercon;612; Skarhult 3;Skarhult ;C2i;44/65;10901;1350;1014;1186;1441;1441;98,5;212;95;0;;;;;;
215;600;;Enercon;613; Skarhult 4;Skarhult ;C2i;44/65;10901;1350;1109;1310;1499;1499;97,8;213;93;15;;;;;;
216;600;;Enercon;620; Allmag;Orust ;B8a;44/65;11101;1250;846;791;1008;1008;96,1;111;72;121;;;;;;
217;600;;Enercon;631; Balkåkra Vind;Balkåkra ;D1h;44/56;20116;1500;1406;1581;1775;1775;99,4;242;97;;;;;;;
218;600;;Enercon;634; Vallsås 1;Vallsås ;D2b;44/65;20201;1350;1066;1145;1339;1339;98,6;152;85;67;;;;;;
219;600;;Enercon;635; Vallsås 2;Vallsås ;D2b;44/65;20201;1350;1069;1142;1282;1282;95,6;174;94;0;;;;;;
220;600;;Enercon;640; Skörstorp Krökelimur;Skörst ;D7h;44/65;20301;1250;1092;1271;1463;1463;98,3;215;91;2;;;;;;
221;600;;Enercon;641; Ramsåsa;Ramsåsa ;D2b;44/65;20501;1350;1111;1145;1269;1269;96,8;182;93;0;;;;;;
222;600;;Enercon;672; Möllebacken 1;Nosaby ;E3a;44/65;21105;1250;953;1069;1321;1321;99,7;177;91;0;;;;;;
223;600;;Enercon;673; Möllebacken 2;Nosaby ;E3a;44/65;21105;1250;952;1075;1307;1307;99,1;172;92;0;;;;;;
224;600;;Enercon;679; Köpingsvik;Köpingsvik ;H5a;44/65;21212;1400;1191;1334;1432;1432;96,5;159;76;153;;;;;;
225;600;;Enercon;712; Bast; Rune, Norra Härene ;C8f;44/65;30412;1150;1188;1073;1430;1430;98,8;199;86;21;;;;;;
226;600;;Enercon;713; Bast; Artur, Norra Härene ;C8f;44/65;30412;1150;1174;1099;1310;1310;95,3;144;75;129;;;;;;
227;600;;Enercon;744; Lörby 1; Toke, Lörby ;E3b;44/65;31201;1270;896;1055;1174;1174;97,2;172;89;2;;;;;;
228;600;;Enercon;745; Lörby 2; Krok, Lörby ;E3b;44/65;31201;1270;956;1112;1241;1241;98,5;173;87;11;;;;;;
229;600;;Enercon;746; Susekulla;Susekulla ;G3g;44/65;31207;1100;952;994;934;934;98,4;;;;;;;;;
230;600;;Enercon;747; Nolby;Nolby ;A8f;44/65;40101;1250;1187;1247;1428;1428;95,5;208;93;4;;;;;;
231;600;;Enercon;752; Bure 1;Bureå ;L22d;44/65;31001;1333;621;509;778;778;91,4;88;82;6;;;;;;
232;600;;Enercon;753; Bure 2;Bureå ;L22d;44/65;31001;1333;753;839;929;929;99,1;96;85;0;;;;;;
233;600;;Enercon;754; Bure 3;Bureå ;L22d;44/65;31001;1333;910;849;981;981;99,7;98;86;0;;;;;;
234;600;;Enercon;765; Målajord;Målajord ;E5f;44/65;40611;1030;857;908;1102;1102;99,6;159;93;0;;;;;;
235;600;;Enercon;771; Valterslund 1;Valterslunds ;D2c;44/65;40630;1600;1532;1727;1845;1845;94;259;97;0;;;;;;
236;600;;Enercon;772; Valterslund 2;Valterslunds ;D2c;44/65;40702;1600;1591;1688;1922;1922;98,4;258;97;1;;;;;;
237;600;120;Bonus;243; Olsvenne 1;Näs ;I5f;44/50;970303;1500;994;494;1203;1203;80,5;140;62;210;;;;;;
238;600;120;Bonus;251; Skärbo 1;Tanumshede ;A9f;44/50;971118;1170;817;955;1134;1134;97,4;169;91;0;;;;;;
239;600;120;Bonus;252; Skärbo 2;Tanumshede ;A9f;44/50;971101;1170;759;871;1084;1084;97,9;160;91;0;;;;;;
240;600;120;Bonus;253; Skärbo 3;Tanumshede ;A9f;44/50;971114;1170;991;984;1216;1216;97,6;178;83;80;;;;;;
241;600;120;Bonus;254; Skärbo 4;Tanumshede ;A9f;44/50;971114;1170;876;822;1128;1128;98,6;167;89;15;;;;;;
242;600;120;Bonus;255; Skärbo 5;Tanumshede ;A9f;44/50;971114;1170;915;721;793;793;82,3;;;;;;;;;
243;600;120;Bonus;256; Skärbo 6;Tanumshede ;A9f;44/50;971113;1170;792;784;846;846;96,8;;;;;;;;;
244;600;120;Bonus;262; Viking Vind;Löddeköpinge 2 ;C2h;44/41;971003;1040;1036;1148;1093;1093;99,4;;;;;;;;;
245;600;120;Bonus;274; Monica af Olseröd;Olseröd ;D2i;44/40;971201;1160;906;663;1196;1196;91,8;193;91;13;;;;;;
246;600;120;Bonus;275; Magnhild af Magnelund;Eld ;C4e;44/30;971201;1100;914;969;1018;1018;85,8;126;79;98;;;;;;
247;600;120;Bonus;333; Eva;Mellböda ;H5h;44/45;980801;1200;954;1058;1133;1133;98,2;165;95;0;;;;;;
248;600;120;Bonus;334; Maria;Mellböda ;H5h;44/45;980801;1200;1040;1117;1167;1167;99;166;94;0;;;;;;
249;600;120;Bonus;335; Susanna;Mellböda ;H5h;44/45;980801;1200;1105;1236;1265;1265;99,8;166;94;0;;;;;;
250;600;120;Bonus;336; Rebecka Slitevind;Mellböda ;H5h;44/45;980801;1200;650;516;949;949;85,2;158;95;2;;;;;;
251;600;120;Bonus;337; Anna Slitevind;Mellböda ;H5h;44/45;980801;1200;1090;1069;1029;1029;80;134;79;119;;;;;;
252;600;120;Bonus;339; Biegg-ål'mai;Suorva ;I28g;44/40;981013;1000;1274;700;1079;1079;79;101;61;201;;;;;;
253;600;120;Bonus;341; Holmsund Vindkraftstn;Hol ;K20e;44/50;980617;1100;1101;1067;1218;1218;95,5;144;90;1;;;;;;
254;660;;Vestas;313; Havsvind;Mellbystrand ;C4b;47/50;980626;1400;1031;1214;1528;1528;98,2;236;81;12;;;;;;
255;660;;Vestas;338; Burgar;Hablingbo ;I5i;47/45;981012;1720;1689;1692;2088;2088;99;308;91;0;;;;;;
256;660;;Vestas;382; Slitevind XX;Smöjen ;J7c;47/55;990819;1877;1266;1446;1611;1611;99,7;234;89;0;;;;;;
257;660;;Vestas;383; Slitevind XXI;Smöjen ;J7c;47/55;990819;1900;1364;1601;1719;1719;99,6;250;89;0;;;;;;
258;660;;Vestas;384; Slitevind XXII;Smöjen ;J7c;47/55;990819;1956;1262;1458;1492;1492;98,2;172;77;93;;;;;;
259;660;;Vestas;385; Slitevind XXIII;Smöjen ;J7c;47/55;990819;1996;1597;1866;1981;1981;99,5;276;92;0;;;;;;
260;660;;Vestas;393; Kärrets Gård;Kärrets Gård ;B5f;47/55;991012;1250;1001;1159;1375;1375;99,3;203;82;25;;;;;;
261;660;;Vestas;394; Eksebo Kraft; Henning, Klint ;I6c;47/55;991023;1650;1452;1394;1737;1737;94,9;278;87;0;;;;;;
262;660;;Vestas;401; Harriemöllan;Backgården ;C2i;47/55;990930;1430;1296;1416;1608;1608;97,2;219;87;2;;;;;;
263;660;;Vestas;405; Storugns 1;Lärbro ;J7b;47/55;991217;1534;927;1033;1209;1209;98,8;186;87;1;;;;;;
264;660;;Vestas;406; Storugns 2;Lärbro ;J7b;47/55;991215;1551;992;1092;1267;1267;98,5;195;87;9;;;;;;
265;660;;Vestas;407; Storugns 3;Lärbro ;J7b;47/55;991218;1530;1014;1112;1284;1284;99;196;89;0;;;;;;
266;660;;Vestas;408; Storugns 4;Lärbro ;J7b;47/55;991218;1528;989;1104;1216;1216;96,1;188;86;19;;;;;;
267;660;;Vestas;409; Storugns 5;Lärbro ;J7e;47/55;991219;1534;1047;1128;1305;1305;98,9;198;89;11;;;;;;
268;660;;Vestas;410; Storugns 6;Lärbro ;J7b;47/55;991220;1576;936;1024;1176;1176;98,1;183;86;8;;;;;;
269;660;;Vestas;411; Sandby 1;Vadstena ;F8g;47/55;990828;1550;1302;600;108;108;100;;;;;;;;;
270;660;;Vestas;421; Brinkagården;Brinkagården ;C3b;47/55;991215;1450;1448;1637;1621;1621;94,2;222;88;18;;;;;;
271;660;;Vestas;423; Piteå Haraholmen N1;Hara ;L24b;47/55;991212;1450;661;636;408;408;99,3;;;;;;;;;
272;660;;Vestas;424; Piteå Haraholmen S2;Harah ;L24b;47/55;991104;1450;588;472;0;0;58,6;;;;;;;;;
273;660;;Vestas;427; Hedeskoga 1;Bergsjöholms ;D2b;47/55;991021;1600;1106;1432;1643;1643;97,8;247;87;1;;;;;;
274;660;;Vestas;428; Hedeskoga 2;Bersjöholms ;D2b;47/55;991021;1600;1274;1336;1383;1383;87,4;229;84;11;;;;;;
275;660;;Vestas;431; Eveboda I;Eveboda ;E8c;47/55;508;1425;1235;1144;1389;1389;89,7;231;78;3;;;;;;
276;660;;Vestas;432; Eveboda II;Eveboda ;E8c;47/55;508;1425;1189;1136;1510;1510;95,5;217;75;11;;;;;;
277;660;;Vestas;433; Eveboda III;Eveboda ;E8c;47/55;508;1425;1007;1118;1567;1567;97,5;221;75;24;;;;;;
278;660;;Vestas;434; Skäggs 1;Väskinde ;J6g;47/50;705;1510;996;1050;1240;1240;98,5;194;97;0;;;;;;
279;660;;Vestas;435; Skäggs 3;Väskinde ;J6g;47/50;705;1510;1062;1096;1363;1363;99,6;207;97;2;;;;;;
280;660;;Vestas;436; Månsagården;Uvered ;C8f;47/50;105;1100;991;914;1247;1247;99,6;183;76;7;;;;;;
283;660;;Vestas;444; Gunnön 1;Karlshamn ;E3f;47/55;908;1600;930;1113;1329;1329;99,3;196;79;5;;;;;;
284;660;;Vestas;445; Gunnön 2;Karlshamn ;E3f;47/55;908;1600;934;1107;1278;1278;98,7;193;82;5;;;;;;
285;660;;Vestas;446; Gunnön 3;Karlshamn ;E3f;47/55;908;1600;968;1140;1442;1442;98,9;215;81;5;;;;;;
286;660;;Vestas;447; Ruth; Ingelstorp, Ingelstorp ;C3e;47/55;914;1350;1185;1323;1516;1516;98,7;201;91;11;;;;;;
287;660;;Vestas;448; Nordanstigsv.1;Stocka ;H16b;47/55;1206;1333;307;507;588;588;97,7;83;74;0;;;;;;
288;660;;Vestas;449; Nordanstigsv.2;Stocka ;H16b;47/55;1206;1327;234;486;573;573;96,6;80;74;0;;;;;;
289;660;;Vestas;450; Nordanstigsv.3;Stocka ;H16b;47/55;1206;1300;275;309;544;544;92,9;80;74;0;;;;;;
290;660;;Vestas;453; Nordanstigsv. 4;Stocka ;H16b;47/55;1206;1386;307;596;666;666;93,9;95;78;20;;;;;;
291;660;;Vestas;460; Ö-vik Själnön; Ada, Husum ;J19e;47/55;1229;1534;1134;1175;1187;1187;94,6;148;81;0;;;;;;
292;660;;Vestas;461; Ö-vik Fanbyn; Beda, Husum ;J19e;47/55;1229;1540;1149;1321;1223;1223;91,7;159;81;0;;;;;;
293;660;;Vestas;462; Ö-vik Fanbyn; Camilla, Husu ;J19e;47/55;1229;1523;1229;1265;1247;1247;96,4;140;72;0;;;;;;
294;660;;Vestas;463; Ö-vik Fanbyn; Dagny, Husu ;J19e;47/55;1229;1495;1244;1193;1059;1059;99,6;131;71;0;;;;;;
295;660;;Vestas;464; Ö-vik Själnön; Elly, Husum ;J19e;47/55;1229;1534;1120;1174;1282;1282;99,8;144;78;0;;;;;;
296;660;;Vestas;465; Ö-vik Fanbyn; Fredrika, Hus ;J19e;47/55;1229;1525;1230;1251;1418;1418;99,6;161;82;0;;;;;;
297;660;;Vestas;466; Ö-vik Fanbyn; Gertrud, Husu ;J19e;47/55;1229;1534;1185;1288;1175;1175;91,3;156;80;0;;;;;;
298;660;;Vestas;467; Ö-vik Fanbyn; Herta, Husum ;J19e;47/55;1229;1601;1460;1368;1289;1289;80,4;175;84;0;;;;;;
299;660;;Vestas;473; Täppeshusen 3;Höganäs ;C3d;47/50;10110;1500;1026;1178;1454;1454;99,7;190;72;0;;;;;;
300;660;;Vestas;478; Mäsinge 1;Båstad ;C4a;47/40;10401;1600;1255;1418;1665;1665;99,6;253;94;0;;;;;;
301;660;200;Vestas;323; Ventosum 1;Falkenberg ;B5f;47/60;980917;1250;1133;1261;1469;1469;96,7;227;83;1;;;;;;
302;660;200;Vestas;324; Ventosum 2;Falkenberg ;B5f;47/60;980917;1250;1040;1190;1465;1465;98,5;219;90;0;;;;;;
303;660;200;Vestas;325; Ventosum 3;Falkenberg ;B5f;47/60;980917;1250;1073;1203;1454;1454;99,7;225;83;0;;;;;;
304;660;200;Vestas;326; Ventosum 4;Falkenberg ;B5f;47/60;980918;1250;1103;1260;1347;1347;98,3;146;83;2;;;;;;
305;660;200;Vestas;327; Ventosum 5;Falkenberg ;B5f;47/60;980921;1250;1176;1354;1480;1480;95,7;216;86;36;;;;;;
306;660;200;Vestas;328; Ventosum 6;Falkenberg ;B5f;47/60;980921;1250;990;1194;1340;1340;93,2;203;71;60;;;;;;
307;660;200;Vestas;329; Ventosum 7;Falkenberg ;B5f;47/60;980901;1250;1063;1193;1350;1350;99;195;90;0;;;;;;
308;660;200;Vestas;330; Ventosum 8;Falkenberg ;B5f;47/60;980901;1250;1044;1196;1233;1233;91,7;205;82;0;;;;;;
309;660;200;Vestas;331; Ventosum 9;Falkenberg ;B5f;47/60;980901;1250;1054;1179;1403;1403;98,6;217;84;3;;;;;;
310;660;200;Vestas;332; Ventosum 10;Falkenberg ;B5f;47/60;980901;1250;1088;1261;1381;1381;97,6;213;86;38;;;;;;
311;660;200;Vestas;371; Sam Öckerövind;Pinan ;B7a;47/50;990110;1700;1668;1752;1840;1840;98,2;271;93;0;;;;;;
312;660;200;Vestas;374; Skåls 1;Näs ;I5f;47/45;990506;1700;1326;1526;1755;1755;98,2;268;94;3;;;;;;
313;660;200;Vestas;376; Slitevind XIX;Näs ;I5f;47/45;990507;1850;1536;1722;1991;1991;99;296;95;1;;;;;;
314;660;200;Vestas;377; Tjelvar Bursvind;Näs ;I5f;47/45;990507;1700;1456;1618;1811;1811;92,5;290;95;2;;;;;;
315;660;200;Vestas;398; Ranåker;Skara ;D8d;47/65;991006;1000;783;754;1193;1193;97,9;180;90;8;;;;;;
316;660;200;Vestas;429; Slättäng 2;Slättäng ;C2i;47/55;991001;1500;1235;1409;1531;1531;97,6;188;86;69;;;;;;
317;660;200;Vestas;441; Levide 1;Näs ;I5f;47/45;1007;1600;1295;1517;1694;1694;98,5;272;95;0;;;;;;
318;660;200;Vestas;442; Levide 2;Näs ;I5f;47/45;1008;1600;1275;1226;1309;1309;80,4;257;94;1;;;;;;
319;660;200;Vestas;443; Levide 3;Näs ;I5f;47/45;1007;1600;1252;1415;1635;1635;97,7;264;88;0;;;;;;
320;660;200;Neg Micon;490; Västanby I;Lund ;C2h;48/55;10601;1680;1555;1677;1931;1931;99,4;259;96;7;;;;;;
321;660;200;Neg Micon;491; Västanby II;Lund ;C2h;48/55;10601;1680;1491;1663;1809;1809;97,9;243;94;22;;;;;;
322;660;200;Vestas;626; Brönnestad 1;Brönnestad,  ;C1i;47/40;10406;1585;1374;1634;1698;1698;97,9;236;95;8;;;;;;
323;660;200;Vestas;627; Brönnestad 2;Brönnestad,  ;C1i;47/40;10406;1585;1327;1526;1703;1703;99,1;235;94;9;;;;;;
324;660;200;Vestas;628; Eksbo;Hönsinge ;C1i;47/40;10406;1590;1367;1521;1693;1693;98,6;236;96;0;;;;;;
325;660;200;Neg Micon;695; Bjäresjö 1;Bjäresjö ;D2b;48/55;20101;1600;1446;1595;1766;1766;96,9;243;94;6;;;;;;
326;750;175;NEG Micon;348; Rodovålen 3;Rodovålen ;E17a;44/50;981023;1200;1105;884;1109;1109;90,9;145;88;75;;;;;;
327;750;200;NEG Micon;360; Vanstad Kommungård;Sjöb ;D2e;48/55;981104;1370;1307;1502;1450;1450;87,4;180;77;133;;;;;;
328;750;200;NEG Micon;373; Ängalid;Torrlösa ;C3b;48/55;990115;1470;1473;1594;1287;1287;71,8;123;44;398;;;;;;
329;750;200;NEG Micon;399; Framnäs 1;Nöbbelöv ;C2i;48/55;990923;;1425;1567;1476;1476;85,9;47;21;562;;;;;;
330;750;200;NEG Micon;451; Vind Invest;Lysekil ;A8f;48/55;112;1600;1859;1930;1915;1915;88,5;279;86;51;;;;;;
331;750;200;NEG Micon;452; Sivik III;Lysekil ;A8f;48/55;101;1600;1463;1620;1963;1963;93,3;280;89;29;;;;;;
332;750;200;NEG Micon;492; Knöbbens Vind;Laholm ;C2e;48/55;10601;1560;1316;1271;1811;1811;98,4;241;84;34;;;;;;
333;750;200;NEG Micon;619; Östorp 1:4;Östorp 1:4 ;C2e;48/55;1229;1500;1073;1138;1534;1534;88,8;71;23;509;;;;;;
334;750;200;NEG Micon;701; Isiegården;St Isie ;C1i;48/50;30801;1720;2025;2355;2262;2262;94,5;298;84;72;;;;;;
335;750;200;NEG Micon;741; Lantan;Svalöv ;C3b;48/55;31230;1500;1497;1671;1613;1613;99,2;;;;;;;;;
336;750;200;NEG Micon;775; TANNAM; Smeby, Tannam,  ;A9f;48/50;41201;1300;1203;1129;1215;1215;75,2;228;89;35;;;;;;
337;750;200;NEG Micon;776; TANNAM; Ceding, Tannam,  ;A9f;48/50;41201;1250;1052;844;842;842;68,5;0;0;743;;;;;;
338;750;200;NEG Micon;808; Framnäs 2;Nöbbelöv ;C2i;48/55;50910;1500;1448;1567;1476;1476;85,9;46;21;563;;;;;;
339;800;;Enercon;798; Almudden;Askersund ;E9f;48/76;50110;1500;1244;1226;1486;1486;98,3;216;92;33;;;;;;
340;800;;Enercon;803; NEWTON;Värsås ;D8f;48/78;50715;1600;1288;1358;1773;1773;99,3;260;96;0;;;;;;
341;800;;Enercon;805; Stavf El;Värsås ;D8f;48/76;50915;1532;1282;1376;1760;1760;99,5;258;96;0;;;;;;
342;800;;Enercon;806; Windy;Värsås ;E8d;48/76;50919;1400;1260;1284;1449;1449;98,3;;;;;;;;;
343;800;;Enercon;807; Simona Vindkraft Leringen; ;D8c;48/76;50901;1500;1215;1383;1281;1281;99,7;;;;;;;;;
344;800;;Enercon;816; Gästgivaregårdens Lamme D8b 48/76 050905;;;;;1700;1739;1644;2283;2283;99,2;333;96;1;;;;;;
345;800;;Enercon;817; Hangelösa 1;Hangelösa ;D8g;48/76;51015;1527;1519;1511;1132;1132;99,2;;;;;;;;;
346;800;;Enercon;818; Stenökra; Lilla Lunden, Lilla ;D8g;48/76;51015;1500;1314;1355;1707;1707;99,5;247;97;0;;;;;;
347;800;;Enercon;819; Skeby 3;Broby ;D8g;48/76;51028;1500;1529;1363;1897;1897;96,8;225;81;;;;;;;
348;800;;Enercon;826; Skallmeja Väster;Skallmeja ;C8f;48/76;51013;1700;1725;1726;2206;2206;99,2;298;94;;;;;;;
349;800;;Enercon;827; Helleberg 1;Helleberg ;C8f;48/50;51027;1400;1357;1334;1736;1736;98,5;250;96;1;;;;;;
350;800;;Enercon;828; Klevberget Hällevadsholm; ;A9c;48/76;60220;1800;1684;1690;2123;2123;98,8;283;94;10;;;;;;
351;800;;Enercon;836; Askers Via;Odensbacken ;F10b;48/76;60401;1400;1390;1383;1747;1747;96,8;184;84;96;;;;;;
352;800;;Enercon;837; Naglarp 1;Kinnarp ;D7g;48/76;60323;1622;1365;1393;1713;1713;98,6;243;93;15;;;;;;
353;800;;Enercon;838; Beateberg 1;Knislinge ;D3f;48/65;51223;1150;872;962;1185;1185;97,6;112;76;128;;;;;;
354;800;;Enercon;839; Hattefjäll;Hällevadsholm ;B9a;48/76;60220;1585;1812;1866;2268;2268;98,8;305;94;15;;;;;;
355;800;;Enercon;841; Kalmarsund Vind;Degerha ;G3i;48/50;60719;2000;2084;2183;2606;2606;99,4;356;95;0;;;;;;
356;800;;Enercon;849; Hällingarna; iDA, Ollebacken ;F20a;48/74;60915;2000;1978;1623;2329;2329;99,6;306;97;0;;;;;;
357;800;;Enercon;852; Kvismaren 2;Odensbacken ;F10c;48/76;61101;1420;1275;1265;1625;1625;95,9;194;88;70;;;;;;
358;800;;Enercon;854; Bränna;Skänninge ;F8d;48/76;70101;1550;1441;1421;1839;1839;96,6;270;99;1;;;;;;
359;800;;Enercon;860; Torseröds Vindkraftpark 1;T ;A9f;48/55;70131;1550;1638;1642;1977;1977;95;288;94;2;;;;;;
360;800;;Enercon;861; Torseröds Vindkraftpark 2;T ;A9f;48/55;70131;1550;1312;1341;1671;1671;98,9;249;94;0;;;;;;
361;800;;Enercon;862; Torseröds Vindkraftpark 3;T ;A9f;48/55;70131;1550;1362;1379;1758;1758;99,4;257;93;0;;;;;;
362;800;;Enercon;863; Torseröds Vindkraftpark 4;T ;A9f;48/55;70131;1550;1262;1234;1628;1628;99,4;242;94;0;;;;;;
363;800;;Enercon;864; Torseröds Vindkraftpark 5;T ;A9f;48/55;70131;1550;1345;1371;1719;1719;99,2;250;93;0;;;;;;
364;800;;Enercon;865; Torseröds Vindkraftpark 6;T ;A9f;48/55;70131;1550;1250;1290;1424;1424;90,4;234;94;0;;;;;;
365;800;;Enercon;866; Kvarnen vindkraft;Kvarnen ;D8g;53/73;70505;1500;1563;1587;1986;1986;98,8;251;92;45;;;;;;
366;800;;Enercon;873; Härjevads Vind;Härjevad ;C8f;53/75;70525;1700;1877;1877;2308;2308;99;278;94;;;;;;;
367;800;;Enercon;874; Gömta Vind;Gömta ;D8e;53/75;70601;1500;1312;1328;1692;1692;97,5;232;94;21;;;;;;
368;800;;Enercon;875; Elin 1;Göteve Liden 2 ;D7g;53/75;70628;1800;1500;1633;1945;1945;98,6;274;93;;;;;;;
369;800;;Enercon;876; Söderbodane 1;Söderboda ;C9g;53/73;70830;1500;1379;1399;1645;1645;98,7;204;86;0;59;;;;;
370;800;;Enercon;877; Rangeltorp 1;Rangeltorp ;C8c;53/75;70614;1430;1418;1385;1818;1818;97,7;245;95;1;;;;;;
371;800;;Enercon;883; Hackegården 1;Mjölby ;F8d;48/63;70912;1800;1286;1253;1633;1633;95,6;188;81;127;;;;;;
372;800;;Enercon;884; Hackegården 2;Mjölby ;F8d;48/63;70921;1800;1293;1258;1745;1745;99,2;250;96;10;;;;;;
373;800;;Enercon;886; Lovene;Kållands Åsaka ;C8f;53/73;70801;1800;1670;1633;2030;2030;99,3;272;97;0;;;;;;
374;800;;Enercon;887; Torkelsrud;Valbo Ryr ;B8h;53/73;71017;1800;1469;1482;1781;1781;98,5;233;91;42;;;;;;
377;800;;Enercon;954; Askegården;Skänninge ;F8d;53/73;71211;1600;1557;1563;1969;1969;97,7;263;99;2;;;;;;
378;800;;Enercon;955; Åsen Tumleberg 1;Åsen ;C8b;53/73;71123;1600;1469;1408;1836;1836;98,4;252;94;0;;;;;;
379;800;;Enercon;963; Borringe 1;Borensberg ;F8e;53/75;71218;1750;1580;1599;1973;1973;93,4;280;99;1;;;;;;
380;800;;Enercon;964; Fingal af Boberg;Borensber ;F8e;53/75;71218;1750;1541;1583;1989;1989;97,1;277;99;0;;;;;;
381;800;;Enercon;965; Boberg 1;Borensberg ;F8e;53/75;71218;1750;1537;1531;2016;2016;99,6;276;99;2;;;;;;
382;800;;Enercon;975; Carpe Ventum 1;Torp ;C9a;53/78;71101;1800;1700;1703;2027;2027;99,1;262;88;13;;;;;;
383;800;;Enercon;976; Götene Elin 2;Götene ;D7g;53/73;80308;1800;1592;1688;2037;2037;94,5;263;89;52;;;;;;
384;800;;Enercon;985; Bjälbo-Skenaån Vind;Bjälbo ;F8d;53/73;80425;1750;1797;1709;2261;2261;98,9;274;90;72;;;;;;
385;800;;Enercon;986; Varby;Motala ;F8g;53/73;80515;1750;1697;1646;2121;2121;99,3;296;98;4;;;;;;
386;800;;Enercon;1002; Normlösa Torpa Vind;Skän ;F8e;53/74;80430;1810;1683;1636;2103;2103;95,8;283;98;;;;;;;
387;800;;Enercon;1007; Broby Äle 1;Broby ;D8g;53/73;80417;1800;1651;1719;2116;2116;98,6;256;89;70;;;;;;
388;800;;Enercon;1008; Broby Äle 2;Broby ;D8g;53/73;80417;1800;1668;1728;2170;2170;99,6;292;98;0;;;;;;
389;800;;Enercon;1009; Sturkö 1; Ådan, Sturkö ;F3f;48/65;80901;1800;1816;1630;1961;1961;96,4;338;97;0;;;;;;
390;800;;Enercon;1010; Sturkö 2; Gudingen, Sturkö ;F3f;48/65;80901;1800;2023;2112;2512;2512;99,9;365;97;0;;;;;;
391;800;;Enercon;1012; Långöre 1;Långöre ;H5a;53/73;80606;2184;2534;2596;2899;2899;99,2;321;91;;;;;;;
392;800;;Enercon;1021; Genneved;Gendalen,  Solle ;C8a;53/73;81008;1600;1654;1615;2035;2035;99,6;271;95;0;;;;;;
393;800;;Enercon;1022; Byåra Borrby 35:11;Simrish ;D2c;53/73;81015;2750;2833;3066;3291;3291;99,4;423;98;8;;;;;;
394;800;;Enercon;1025; Magnus Ladulås;Bjälbo ;F8d;53/73;81202;2000;2023;2012;2526;2526;99,5;330;99;0;;;;;;
395;800;;Enercon;1033; Prästgården;Gudhem ;D8b;53/74;81219;2100;2081;1480;1899;1899;98,8;;;;;;;;;
396;800;;Enercon;1035; Eke Vind;Lindärva ;D8d;53/73;81210;1900;1797;1809;2323;2323;99,7;309;96;11;;;;;;
397;800;;Enercon;1036; Harstorp 1;Harstorp ;F3i;53/73;90303;1980;1364;1400;1595;1595;99,3;218;98;1;;;;;;
398;800;;Enercon;1037; Lagmansberga 21;Skänning ;F8d;53/73;81120;1900;2002;1984;2503;2503;99,8;330;99;0;;;;;;
399;800;;Enercon;1038; Lagmansberga 22;Skänning ;F8d;53/73;81120;1900;1986;1991;2493;2493;99,8;328;99;0;;;;;;
400;800;;Enercon;1039; Lagmansberga 23;Skänning ;F8d;53/73;81120;1900;1989;1989;2491;2491;99,6;327;99;0;;;;;;
401;800;;Enercon;1041; Djupedal;Stora Levene ;C8f;53/73;90213;1800;1900;1865;2318;2318;99,4;302;94;0;;;;;;
402;800;;Enercon;1042; Rytterås 1;Long ;C8f;53/73;80408;1900;1908;1858;2325;2325;99;307;97;1;;;;;;
403;800;;Enercon;1043; Ö Karaby II;Östra Karaby ;C2i;53/60;90307;2200;2088;2375;2585;2585;98;330;99;0;;;;;;
404;800;;Enercon;1044; Halvås;Vara ;C8b;53/73;90423;1850;1751;1751;2162;2162;99,3;282;93;7;;;;;;
405;800;;Enercon;1045; Naglarp 2;Kinnarp ;D7g;53/73;90207;1700;1576;1619;1965;1965;99,1;271;92;16;;;;;;
406;800;;Enercon;1053; Karleby Vind;Väderstad ;E8f;53/73;90228;1980;1799;1827;2376;2376;99,6;319;99;4;;;;;;
407;800;;Enercon;1067; Kristin 1;Blixtorp ;D8c;53/73;70430;1500;1339;1405;1714;1714;95;259;94;25;;;;;;
408;800;;Enercon;1068; Kristin 2;Blixtorp ;D8c;53/73;80531;1500;1363;1481;1883;1883;99,2;263;95;18;;;;;;
409;800;;Enercon;1069; Kristin 3;Blixtorp ;D8c;53/73;80531;1500;1366;1479;1872;1872;99,2;269;97;5;;;;;;
410;800;;Enercon;1070; Karwind;Korsberga ;E8d;53/73;70616;1500;1362;1434;1795;1795;97,1;260;97;2;;;;;;
411;800;;Enercon;1083; Arvidstorp Vind 1;Mellby ;C8f;53/73;90519;1800;1606;1592;1954;1954;98,1;265;97;0;;;;;;
412;800;;Enercon;1084; Arvidstorp Vind 2;Mellby ;C8f;53/73;90519;1800;1583;1537;1893;1893;98,4;256;94;0;;;;;;
413;800;;Enercon;1085; Lovene 3;Lovene ;C8f;53/73;90430;1800;1683;1658;2075;2075;97,8;282;94;1;;;;;;
